shipment_id,crop_type,storage_days,temperature,humidity,distance_km,transport_mode,delay_hours,region,loss_percent
1,Rice,7,13.3,42.8,1498,Truck,1.9,North,18.15
2,Onion,12,22.7,38.2,750,Rail,7.9,South,22.47
3,Mango,13,11.3,92.6,679,Refrigerated Truck,5.4,East,35.1
4,Rice,12,32.2,37.0,120,Truck,1.7,Central,17.38
5,Potato,2,37.5,61.1,609,Refrigerated Truck,5.3,West,13.69
6,Mango,9,18.4,68.1,1070,Rail,13.8,East,30.5
7,Mango,2,35.8,65.2,383,Truck,7.3,South,13.74
8,Rice,7,18.8,35.6,1234,Truck,1.5,North,19.77
9,Banana,7,37.3,33.7,470,Refrigerated Truck,3.9,West,19.14
10,Potato,1,32.6,36.9,284,Refrigerated Truck,1.1,Central,5.03
11,Rice,7,34.1,68.1,622,Open Cart,4.7,East,25.29
12,Potato,10,10.5,65.4,122,Truck,9.1,Central,15.54
13,Potato,12,38.9,45.2,1265,Open Cart,2.3,South,35.63
14,Mango,12,31.8,71.5,313,Truck,0.6,Central,23.98
15,Onion,0,19.1,83.3,1484,Truck,3.5,North,7.45
16,Potato,5,34.9,32.7,104,Open Cart,4.7,East,17.35
17,Wheat,7,18.4,62.4,265,Truck,1.3,East,10.8
18,Mango,2,36.2,74.8,997,Refrigerated Truck,8.0,North,19.1
19,Banana,7,13.4,46.4,1333,Truck,5.7,Central,24.41
20,Onion,11,31.1,50.0,1382,Rail,2.8,North,23.93
21,Wheat,0,26.2,69.9,290,Open Cart,8.9,West,11.61
22,Wheat,10,12.9,88.4,332,Truck,8.4,North,30.65
23,Banana,10,17.3,82.6,1131,Refrigerated Truck,3.7,Central,26.39
24,Onion,8,10.4,67.9,67,Truck,4.8,North,16.46
25,Mango,12,24.1,77.5,691,Refrigerated Truck,10.3,South,24.19
26,Tomato,10,19.0,53.7,1310,Truck,11.3,North,31.32
27,Onion,12,28.0,71.7,1469,Truck,7.2,North,35.25
28,Banana,8,18.9,60.3,1321,Truck,3.6,Central,26.83
29,Wheat,4,19.0,42.3,742,Truck,7.5,West,11.82
30,Mango,9,32.3,75.6,1035,Open Cart,9.8,West,39.0
31,Onion,3,11.4,66.2,643,Truck,5.7,Central,10.43
32,Tomato,14,37.1,53.3,940,Truck,6.4,Central,37.14
33,Tomato,10,35.6,89.2,1120,Truck,3.5,Central,36.54
34,Potato,5,30.0,31.4,1218,Truck,3.0,South,16.63
35,Potato,11,27.8,50.5,480,Refrigerated Truck,4.0,East,18.17
36,Rice,6,36.8,33.7,1490,Open Cart,0.9,North,23.28
37,Banana,4,15.6,79.8,57,Truck,1.0,Central,12.05
38,Onion,10,12.4,75.6,758,Open Cart,13.6,Central,28.4
39,Onion,12,17.2,51.5,490,Rail,10.7,Central,22.67
40,Rice,9,33.8,73.9,1392,Truck,5.2,West,24.32
41,Wheat,8,11.0,55.7,1140,Refrigerated Truck,1.5,Central,11.15
42,Wheat,2,27.5,79.2,413,Rail,2.8,North,3.66
43,Rice,14,39.9,59.5,1035,Refrigerated Truck,1.2,Central,32.28
44,Wheat,6,35.7,56.8,672,Open Cart,6.9,North,29.7
45,Potato,9,25.6,90.8,1225,Truck,2.5,South,32.27
46,Onion,9,11.9,46.3,839,Open Cart,10.8,East,30.84
47,Rice,10,34.9,37.8,880,Refrigerated Truck,4.7,West,16.96
48,Onion,4,28.0,68.0,371,Rail,3.0,North,7.02
49,Tomato,13,13.4,,1006,Refrigerated Truck,4.9,South,36.71
50,Potato,6,12.8,54.6,254,Truck,2.5,East,13.32
51,Mango,14,37.3,34.0,1268,Open Cart,7.2,East,44.52
